Sourcetype,"Sourcetype_label",app,"sourcetype_origin","sourcetype_count_24h","host_count_24h"
openioc,"openioc (Events:0, Hosts:0)","DA-ESS-ThreatIntelligence",installed,0,0
"central_sfdc","central_sfdc (Events:0, Hosts:0)",Fingerprints,installed,0,0
csv,"csv (Events:0, Hosts:0)",MondayMorningEMEA,installed,0,0
default,"default (Events:0, Hosts:0)","SA-IdentityManagement",installed,0,0
"Whois:Domaintools","Whois:Domaintools (Events:0, Hosts:0)","SA-NetworkProtection",installed,0,0
"Whois:System","Whois:System (Events:0, Hosts:0)","SA-NetworkProtection",installed,0,0
"incident_review","incident_review (Events:0, Hosts:0)","SA-ThreatIntelligence",installed,0,0
"notable_event_suppression","notable_event_suppression (Events:0, Hosts:0)","SA-ThreatIntelligence",installed,0,0
"notable_event_suppression:edit","notable_event_suppression:edit (Events:0, Hosts:0)","SA-ThreatIntelligence",installed,0,0
"notable_event_suppression:list","notable_event_suppression:list (Events:0, Hosts:0)","SA-ThreatIntelligence",installed,0,0
scoreboard,"scoreboard (Events:0, Hosts:0)","SA-ctf_scoreboard",installed,0,0
"scoreboard_admin","scoreboard_admin (Events:0, Hosts:0)","SA-ctf_scoreboard_admin",installed,0,0
audittrail,"audittrail (Events:0, Hosts:0)","Splunk_SA_CIM",installed,0,0
"splunk_web_access","splunk_web_access (Events:0, Hosts:0)","Splunk_SA_CIM",installed,0,0
splunkd,"splunkd (Events:0, Hosts:0)","Splunk_SA_CIM",installed,0,0
"stash_common_action_model","stash_common_action_model (Events:0, Hosts:0)","Splunk_SA_CIM",installed,0,0
"aws:billing","aws:billing (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:billing:cur","aws:billing:cur (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:billing:cur:digest","aws:billing:cur:digest (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:cloudfront:accesslogs","aws:cloudfront:accesslogs (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:cloudtrail","aws:cloudtrail (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:cloudwatch","aws:cloudwatch (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:cloudwatch:metric","aws:cloudwatch:metric (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:cloudwatchlogs:vpcflow","aws:cloudwatchlogs:vpcflow (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:config","aws:config (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:config:notification","aws:config:notification (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:config:rule","aws:config:rule (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:description","aws:description (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:inspector","aws:inspector (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:s3","aws:s3 (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:s3:accesslogs","aws:s3:accesslogs (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
"aws:sqs","aws:sqs (Events:0, Hosts:0)","Splunk_TA_aws",installed,0,0
bluecoat,"bluecoat (Events:0, Hosts:0)","Splunk_TA_bluecoat-proxysg",installed,0,0
"bluecoat:proxysg:access:file","bluecoat:proxysg:access:file (Events:0, Hosts:0)","Splunk_TA_bluecoat-proxysg",installed,0,0
"bluecoat:proxysg:access:syslog","bluecoat:proxysg:access:syslog (Events:0, Hosts:0)","Splunk_TA_bluecoat-proxysg",installed,0,0
ActiveDirectory,"ActiveDirectory (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
DhcpSrvLog,"DhcpSrvLog (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Perfmon:CPU","Perfmon:CPU (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Perfmon:CPUTime","Perfmon:CPUTime (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Perfmon:FreeDiskSpace","Perfmon:FreeDiskSpace (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Perfmon:LocalNetwork","Perfmon:LocalNetwork (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Perfmon:LogicalDisk","Perfmon:LogicalDisk (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Perfmon:Memory","Perfmon:Memory (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Perfmon:Network","Perfmon:Network (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Perfmon:PhysicalDisk","Perfmon:PhysicalDisk (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Perfmon:Process","Perfmon:Process (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Perfmon:ProcessorInformation","Perfmon:ProcessorInformation (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Perfmon:System","Perfmon:System (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"PerfmonMk:CPU","PerfmonMk:CPU (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"PerfmonMk:LogicalDisk","PerfmonMk:LogicalDisk (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"PerfmonMk:Memory","PerfmonMk:Memory (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"PerfmonMk:Network","PerfmonMk:Network (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"PerfmonMk:PhysicalDisk","PerfmonMk:PhysicalDisk (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"PerfmonMk:Process","PerfmonMk:Process (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"PerfmonMk:ProcessorInformation","PerfmonMk:ProcessorInformation (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"PerfmonMk:System","PerfmonMk:System (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Script:InstalledApps","Script:InstalledApps (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Script:ListeningPorts","Script:ListeningPorts (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Script:NetworkConfiguration","Script:NetworkConfiguration (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Script:TimesyncConfiguration","Script:TimesyncConfiguration (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"Script:TimesyncStatus","Script:TimesyncStatus (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:CPUTime","WMI:CPUTime (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:ComputerSystem","WMI:ComputerSystem (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:FreeDiskSpace","WMI:FreeDiskSpace (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:InstalledUpdates","WMI:InstalledUpdates (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:LocalNetwork","WMI:LocalNetwork (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:LocalPhysicalDisk","WMI:LocalPhysicalDisk (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:LocalProcesses","WMI:LocalProcesses (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:LogicalDisk","WMI:LogicalDisk (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:Memory","WMI:Memory (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:ScheduledJobs","WMI:ScheduledJobs (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:Service","WMI:Service (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:Uptime","WMI:Uptime (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:UserAccounts","WMI:UserAccounts (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:Version","WMI:Version (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:WinEventLog:Application","WMI:WinEventLog:Application (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:WinEventLog:Security","WMI:WinEventLog:Security (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WMI:WinEventLog:System","WMI:WinEventLog:System (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
WinEventLog,"WinEventLog (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Application","WinEventLog:Application (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-AppLocker/EXE and DLL","WinEventLog:Microsoft-Windows-AppLocker/EXE and DLL (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-AppLocker/MSI and Script","WinEventLog:Microsoft-Windows-AppLocker/MSI and Script (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-AppLocker/Packaged app-Deployment","WinEventLog:Microsoft-Windows-AppLocker/Packaged app-Deployment (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-AppLocker/Packaged app-Execution","WinEventLog:Microsoft-Windows-AppLocker/Packaged app-Execution (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-Application-Experience/Program-Inventory","WinEventLog:Microsoft-Windows-Application-Experience/Program-Inventory (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-CAPI2/Operational","WinEventLog:Microsoft-Windows-CAPI2/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-CodeIntegrity/Operational","WinEventLog:Microsoft-Windows-CodeIntegrity/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-DNS-Client/Operational","WinEventLog:Microsoft-Windows-DNS-Client/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-Defender/Operational","WinEventLog:Microsoft-Windows-Defender/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-DriverFrameworks-UserMode/Operational","WinEventLog:Microsoft-Windows-DriverFrameworks-UserMode/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-Kernel-PnP/Device Configuration","WinEventLog:Microsoft-Windows-Kernel-PnP/Device Configuration (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-LSA/Operational","WinEventLog:Microsoft-Windows-LSA/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-NetworkProfile/Operational","WinEventLog:Microsoft-Windows-NetworkProfile/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-PowerShell/Operational","WinEventLog:Microsoft-Windows-PowerShell/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-PrintService/Operational","WinEventLog:Microsoft-Windows-PrintService/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-SMBClient/Operational","WinEventLog:Microsoft-Windows-SMBClient/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-SmartCard-Audit/Authentication","WinEventLog:Microsoft-Windows-SmartCard-Audit/Authentication (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-TaskScheduler/Operational","WinEventLog:Microsoft-Windows-TaskScheduler/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-TerminalServices-LocalSessionManager/Admin","WinEventLog:Microsoft-Windows-TerminalServices-LocalSessionManager/Admin (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","WinEventLog:Microsoft-Windows-TerminalServices-LocalSessionManager/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-TerminalServices-RDPClient/Operational","WinEventLog:Microsoft-Windows-TerminalServices-RDPClient/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-TerminalServices-RemoteConnectionManager/Admin","WinEventLog:Microsoft-Windows-TerminalServices-RemoteConnectionManager/Admin (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational","WinEventLog:Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-WLAN-Autoconfig/Operational","WinEventLog:Microsoft-Windows-WLAN-Autoconfig/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-WinRM/Operational","WinEventLog:Microsoft-Windows-WinRM/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-Windows Defender/Operational","WinEventLog:Microsoft-Windows-Windows Defender/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","WinEventLog:Microsoft-Windows-Windows Firewall With Advanced Security/Firewall (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Microsoft-Windows-WindowsUpdateClient/Operational","WinEventLog:Microsoft-Windows-WindowsUpdateClient/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Security","WinEventLog:Security (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Setup","WinEventLog:Setup (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:System","WinEventLog:System (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:System:IAS","WinEventLog:System:IAS (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"WinEventLog:Windows PowerShell","WinEventLog:Windows PowerShell (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
WinHostMon,"WinHostMon (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
WinRegistry,"WinRegistry (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
WindowsUpdateLog,"WindowsUpdateLog (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
XmlWinEventLog,"XmlWinEventLog (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Application","XmlWinEventLog:Application (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-AppLocker/EXE and DLL","XmlWinEventLog:Microsoft-Windows-AppLocker/EXE and DLL (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-AppLocker/MSI and Script","XmlWinEventLog:Microsoft-Windows-AppLocker/MSI and Script (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-AppLocker/Packaged app-Deployment","XmlWinEventLog:Microsoft-Windows-AppLocker/Packaged app-Deployment (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-AppLocker/Packaged app-Execution","XmlWinEventLog:Microsoft-Windows-AppLocker/Packaged app-Execution (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-Application-Experience/Program-Inventory","XmlWinEventLog:Microsoft-Windows-Application-Experience/Program-Inventory (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-CAPI2/Operational","XmlWinEventLog:Microsoft-Windows-CAPI2/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-CodeIntegrity/Operational","XmlWinEventLog:Microsoft-Windows-CodeIntegrity/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-DNS-Client/Operational","XmlWinEventLog:Microsoft-Windows-DNS-Client/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-Defender/Operational","XmlWinEventLog:Microsoft-Windows-Defender/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-DriverFrameworks-UserMode/Operational","XmlWinEventLog:Microsoft-Windows-DriverFrameworks-UserMode/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-Kernel-PnP/Device Configuration","XmlWinEventLog:Microsoft-Windows-Kernel-PnP/Device Configuration (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-LSA/Operational","XmlWinEventLog:Microsoft-Windows-LSA/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-NetworkProfile/Operational","XmlWinEventLog:Microsoft-Windows-NetworkProfile/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-PowerShell/Operational","XmlWinEventLog:Microsoft-Windows-PowerShell/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-PrintService/Operational","XmlWinEventLog:Microsoft-Windows-PrintService/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-SMBClient/Operational","XmlWinEventLog:Microsoft-Windows-SMBClient/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-SmartCard-Audit/Authentication","XmlWinEventLog:Microsoft-Windows-SmartCard-Audit/Authentication (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-TaskScheduler/Operational","XmlWinEventLog:Microsoft-Windows-TaskScheduler/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-TerminalServices-LocalSessionManager/Admin","XmlWinEventLog:Microsoft-Windows-TerminalServices-LocalSessionManager/Admin (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","XmlWinEventLog:Microsoft-Windows-TerminalServices-LocalSessionManager/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-TerminalServices-RDPClient/Operational","XmlWinEventLog:Microsoft-Windows-TerminalServices-RDPClient/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-TerminalServices-RemoteConnectionManager/Admin","XmlWinEventLog:Microsoft-Windows-TerminalServices-RemoteConnectionManager/Admin (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational","XmlWinEventLog:Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-WLAN-Autoconfig/Operational","XmlWinEventLog:Microsoft-Windows-WLAN-Autoconfig/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-WinRM/Operational","XmlWinEventLog:Microsoft-Windows-WinRM/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-Windows Defender/Operational","XmlWinEventLog:Microsoft-Windows-Windows Defender/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","XmlWinEventLog:Microsoft-Windows-Windows Firewall With Advanced Security/Firewall (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Microsoft-Windows-WindowsUpdateClient/Operational","XmlWinEventLog:Microsoft-Windows-WindowsUpdateClient/Operational (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Security","XmlWinEventLog:Security (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Setup","XmlWinEventLog:Setup (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:System","XmlWinEventLog:System (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"XmlWinEventLog:Windows PowerShell","XmlWinEventLog:Windows PowerShell (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"fs_notification","fs_notification (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
wineventlog,"wineventlog (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
wmi,"wmi (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
xmlwineventlog,"xmlwineventlog (Events:0, Hosts:0)","Splunk_TA_windows",installed,0,0
"qualys://knowledge_base","qualys://knowledge_base (Events:0, Hosts:0)","TA-QualysCloudPlatform",installed,0,0
"qualys:hostDetection","qualys:hostDetection (Events:0, Hosts:0)","TA-QualysCloudPlatform",installed,0,0
"qualys:pc:policyInfo","qualys:pc:policyInfo (Events:0, Hosts:0)","TA-QualysCloudPlatform",installed,0,0
"qualys:pc:postureInfo","qualys:pc:postureInfo (Events:0, Hosts:0)","TA-QualysCloudPlatform",installed,0,0
"qualys:wasFindings","qualys:wasFindings (Events:0, Hosts:0)","TA-QualysCloudPlatform",installed,0,0
fortinet,"fortinet (Events:0, Hosts:0)","TA-fortinet",installed,0,0
curl,"curl (Events:0, Hosts:0)","TA-webtools",installed,0,0
testport,"testport (Events:0, Hosts:0)","TA-webtools",installed,0,0
